case_type,signal_id,position_episode_id,role,ts_code,stock_code,stock_name,signal_date,entry_date,available_future_days,D5_close_ret,D10_close_ret,D20_close_ret,D10_MFE,D10_MAE,D20_MFE,D20_MAE,BB_z,turnover_rank
A_D20_worst_50,SIG52814_5,52814,ADD_ON_4,300116.SZ,300116,保力新,2024-04-10,2024-04-11,20,-0.1954947707160093,-0.3457869564064252,-0.9027521151414957,0.0166824326116366,-0.38114982362769956,0.0166824326116366,-0.9027521151414957,-2.2104646848963823,
A_D20_worst_50,SIG52814_4,52814,ADD_ON_3,300116.SZ,300116,保力新,2024-04-08,2024-04-09,20,-0.1834252703817919,-0.27898188767753973,-0.8436346262433219,0.03374885983581666,-0.313729748512357,0.03374885983581666,-0.8436346262433219,-2.466015723749716,
A_D20_worst_50,SIG2094_4,2094,ADD_ON_3,300156.SZ,300156,神雾环保,2020-04-27,2020-04-28,20,-0.11428777408158852,-0.24817450590646473,-0.7322265363502477,0.01959895774328757,-0.2687724646487534,0.01959895774328757,-0.7322265363502477,-2.2126708903570664,
A_D20_worst_50,SIG2094_3,2094,ADD_ON_2,300156.SZ,300156,神雾环保,2020-04-23,2020-04-24,20,-0.09894027541086348,-0.26544044191103,-0.6865879218820394,0.018589253883371848,-0.2850286967934026,0.018589253883371848,-0.6865879218820394,-2.7017506331309424,
A_D20_worst_50,SIG2094_2,2094,ADD_ON_1,300156.SZ,300156,神雾环保,2020-04-21,2020-04-22,20,-0.17781333710537206,-0.2750612219638766,-0.6552120445925754,-0.000999000999000632,-0.283901938769195,-0.000999000999000632,-0.6552120445925754,-2.1960500483568217,
A_D20_worst_50,SIG189_4,189,ADD_ON_3,300090.SZ,300090,盛运环保,2020-04-24,2020-04-27,20,-0.06955789308730476,-0.15770504005798114,-0.6474114121172945,0.04797163620693068,-0.16749916749916738,0.04797163620693068,-0.6474114121172945,-2.1652396171023187,
A_D20_worst_50,SIG11273_1,11273,NEW_ENTRY,300526.SZ,300526,中潜股份,2021-04-16,2021-04-19,20,-0.590568447454136,-0.697122559408788,-0.6443700314087353,-0.0009990009990009652,-0.7032670299997033,-0.0009990009990009652,-0.7128583987269856,-2.170526243871666,2348.0
A_D20_worst_50,SIG10573_1,10573,NEW_ENTRY,600701.SH,600701,退市工新,2021-03-16,2021-03-17,20,-0.3494877215807447,-0.6166624073600817,-0.6282786980461399,-0.0009990009990008542,-0.6166624073600817,-0.0009990009990008542,-0.7212090235346049,-2.086440415629701,3842.0
A_D20_worst_50,SIG38849_1,38849,NEW_ENTRY,601258.SH,601258,庞大集团,2023-04-20,2023-04-21,20,-0.2458521870286574,-0.3633817163228926,-0.6082349023525493,0.008795126442185497,-0.3633817163228926,0.008795126442185497,-0.6082349023525493,-2.4178820993038603,2062.0
A_D20_worst_50,SIG24209_1,24209,NEW_ENTRY,300273.SZ,300273,和佳医疗,2022-04-08,2022-04-11,20,-0.0738874859046531,-0.49835572153168717,-0.6055446699223523,0.041876578357265215,-0.5004995004995004,0.041876578357265215,-0.6698580389567514,-2.161730076367573,2359.0
A_D20_worst_50,SIG2074_5,2074,ADD_ON_4,600175.SH,600175,美都能源,2020-04-24,2020-04-27,20,-0.10841846325717297,-0.3125154415476996,-0.6025479896447639,0.009742945226816069,-0.3125154415476996,0.009742945226816069,-0.6025479896447639,-2.0059604646436933,
A_D20_worst_50,SIG37331_5,37331,ADD_ON_4,600393.SH,600393,粤泰股份,2023-04-27,2023-04-28,20,-0.1471942691454885,-0.3339993339993339,-0.6020239922678947,0.06397667373277138,-0.3339993339993339,0.06397667373277138,-0.6020239922678947,-2.217800498974388,
A_D20_worst_50,SIG54014_1,54014,NEW_ENTRY,300506.SZ,300506,名家汇,2024-04-08,2024-04-09,20,-0.20329670329670324,-0.5604395604395604,-0.5954045954045953,0.056443556443556586,-0.5754245754245754,0.056443556443556586,-0.6328671328671328,-2.588174753064514,2192.0
A_D20_worst_50,SIG7185_1,7185,NEW_ENTRY,603655.SH,603655,朗博科技,2020-12-01,2020-12-02,20,-0.3444978666653543,-0.39685929833713074,-0.5830770215006668,-0.0009990009990008542,-0.5222511478669114,-0.0009990009990008542,-0.5899666835627426,-2.060281361284871,3325.0
A_D20_worst_50,SIG36001_5,36001,ADD_ON_4,000918.SZ,000918,,2023-04-06,2023-04-07,20,0.004460020853463531,-0.1429335691630773,-0.5741962955077708,0.04267317382071467,-0.1429335691630773,0.04267317382071467,-0.5741962955077708,-2.048990695379992,
A_D20_worst_50,SIG37331_4,37331,ADD_ON_3,600393.SH,600393,粤泰股份,2023-04-25,2023-04-26,20,-0.07966049698333166,-0.29204653614102427,-0.5673617720861814,0.030465597394731425,-0.29204653614102427,0.030465597394731425,-0.5673617720861814,-2.066582896051772,
A_D20_worst_50,SIG2074_4,2074,ADD_ON_3,600175.SH,600175,美都能源,2020-04-21,2020-04-22,20,-0.1561836222030396,-0.2725720881060686,-0.5635432528636412,0.037797154302008806,-0.2725720881060686,0.037797154302008806,-0.5635432528636412,-2.237088905379433,
A_D20_worst_50,SIG54014_2,54014,ADD_ON_1,300506.SZ,300506,名家汇,2024-04-10,2024-04-11,20,-0.37090617191372854,-0.5520851944025748,-0.55963432033961,0.03171387806148496,-0.5722161969013355,0.03171387806148496,-0.6300928290852724,-2.021315948760507,
A_D20_worst_50,SIG2074_3,2074,ADD_ON_2,600175.SH,600175,美都能源,2020-04-17,2020-04-20,20,-0.13599913599913604,-0.2529992529992531,-0.558999558999559,0.008001008001008003,-0.26199926199926205,0.008001008001008003,-0.558999558999559,-2.4475829407101504,
A_D20_worst_50,SIG24058_1,24058,NEW_ENTRY,688390.SH,688390,固德威,2022-03-25,2022-03-28,20,-0.07337168326179311,-0.28093884137840175,-0.5588477456609324,-0.0009990009990009652,-0.28873324477720075,-0.0009990009990009652,-0.5605493407691209,-2.0103451815453575,943.0
A_D20_worst_50,SIG22178_2,22178,ADD_ON_1,300772.SZ,300772,运达股份,2022-03-29,2022-03-30,20,-0.0399290798186166,-0.4840998216266704,-0.5564423302993416,0.05693631314987546,-0.48839132637843896,0.05693631314987546,-0.5920005125282818,-2.46694812245358,
A_D20_worst_50,SIG21278_5,21278,ADD_ON_4,300392.SZ,300392,腾信股份,2022-04-11,2022-04-12,20,-0.03544731130938017,-0.20768886286127652,-0.5556167969961072,0.02828206276482148,-0.24213717317165573,0.02828206276482148,-0.5831754452444107,-2.1112108494348987,
A_D20_worst_50,SIG48361_3,48361,ADD_ON_2,301182.SZ,301182,凯旺科技,2024-01-10,2024-01-11,20,-0.03538490495012225,-0.16252226034834716,-0.5538881408446625,0.03429179516136038,-0.19012147273016833,0.03429179516136038,-0.567913970087883,-2.307454513563863,
A_D20_worst_50,SIG36601_5,36601,ADD_ON_4,000671.SZ,000671,,2023-04-21,2023-04-24,20,-0.03592910585917575,-0.2594817769642943,-0.5528946577897627,0.01995906191710395,-0.2594817769642943,0.01995906191710395,-0.5528946577897627,-2.7804835153836023,
A_D20_worst_50,SIG36601_4,36601,ADD_ON_3,000671.SZ,000671,,2023-04-19,2023-04-20,20,-0.11056685250233644,-0.23947020721214274,-0.5488382585156779,0.005446166736489344,-0.23947020721214274,0.005446166736489344,-0.5488382585156779,-2.0545168699804317,
A_D20_worst_50,SIG24355_1,24355,NEW_ENTRY,300835.SZ,300835,龙磁科技,2022-04-11,2022-04-12,20,-0.45653915899479613,-0.585465618804927,-0.5480411325544862,0.010819257816927719,-0.5867190704975254,0.010819257816927719,-0.6368571382014651,-2.0796261282532176,1893.0
A_D20_worst_50,SIG2094_1,2094,NEW_ENTRY,300156.SZ,300156,神雾环保,2020-04-16,2020-04-17,20,-0.11199911199911183,-0.21446075292229128,-0.5474610859226243,0.06730875961645211,-0.2400761631530861,0.06730875961645211,-0.5474610859226243,-2.1705355306453447,2951.0
A_D20_worst_50,SIG50961_1,50961,NEW_ENTRY,688328.SH,688328,深科达,2024-01-10,2024-01-11,20,-0.09321912953874212,-0.14462051265925358,-0.5464583842307813,0.06431099167176657,-0.18513689700130376,0.06431099167176657,-0.5703449093279601,-2.1143728941062396,569.0
A_D20_worst_50,SIG24209_2,24209,ADD_ON_1,300273.SZ,300273,和佳医疗,2022-04-13,2022-04-14,20,-0.3979235050663621,-0.6543634936492079,-0.5450977593834736,0.021300128442985677,-0.6565934065934065,0.021300128442985677,-0.6565934065934065,-2.1426858564102464,
A_D20_worst_50,SIG9759_1,9759,NEW_ENTRY,600086.SH,600086,退市金钰,2021-01-29,2021-02-01,20,-0.35199935199935195,-0.4869994869994869,-0.540999540999541,-0.0009990009990009652,-0.5139995139995139,-0.0009990009990009652,-0.540999540999541,-2.054630121327205,3809.0
A_D20_worst_50,SIG204_2,204,ADD_ON_1,300362.SZ,300362,天翔环境,2020-04-20,2020-04-21,20,-0.08576272212635827,-0.5398540853086307,-0.5398540853086307,0.011110102019193047,-0.5398540853086307,0.011110102019193047,-0.7033269760542487,-2.2344324234463517,
A_D20_worst_50,SIG37331_3,37331,ADD_ON_2,600393.SH,600393,粤泰股份,2023-04-21,2023-04-24,20,-0.023703569158114446,-0.24318106136287942,-0.5383404474313565,0.014137377773741688,-0.24318106136287942,0.014137377773741688,-0.5383404474313565,-2.067132818872366,
A_D20_worst_50,SIG36594_4,36594,ADD_ON_3,000620.SZ,000620,新华联,2023-04-19,2023-04-20,20,-0.34697337294739883,-0.36859677119417367,-0.5372592775190177,-0.0009990009990008542,-0.41184356768772334,-0.0009990009990008542,-0.5805060740125675,-3.160272517205855,
A_D20_worst_50,SIG24214_1,24214,NEW_ENTRY,300336.SZ,300336,新文化,2022-04-08,2022-04-11,20,-0.06266572933239611,-0.14488803377692272,-0.5313328646661981,0.044223266445488685,-0.161332494665828,0.044223266445488685,-0.543666210332877,-2.1140881037221524,2728.0
A_D20_worst_50,SIG21745_5,21745,ADD_ON_4,688086.SH,688086,紫晶存储,2022-04-11,2022-04-12,20,0.0062335854191057916,-0.1836218080561972,-0.5298818828230593,0.02883541797568956,-0.18814217456751392,0.02883541797568956,-0.5425389090547461,-2.0693352588910474,
A_D20_worst_50,SIG54598_1,54598,NEW_ENTRY,300020.SZ,300020,银江技术,2024-04-15,2024-04-16,20,-0.026905023663532424,0.08319557266072697,-0.5288342127888318,0.0864338254937933,-0.07871706899259556,0.0864338254937933,-0.5547402354533635,-2.0865841701499876,1333.0
A_D20_worst_50,SIG50877_1,50877,NEW_ENTRY,002856.SZ,002856,美芝股份,2024-01-09,2024-01-10,20,-0.1061198688317333,-0.26133188845053246,-0.5287198677029186,0.02651585702433157,-0.28461369139335235,0.02651585702433157,-0.5287198677029186,-2.380531859021278,1849.0
A_D20_worst_50,SIG48300_3,48300,ADD_ON_2,300686.SZ,300686,智动力,2024-01-10,2024-01-11,20,-0.04813135582366368,-0.15571607879300187,-0.5266272189349113,0.01949332718563479,-0.19157765311611474,0.01949332718563479,-0.5440456978918518,-2.156542625950536,
A_D20_worst_50,SIG2074_2,2074,ADD_ON_1,600175.SH,600175,美都能源,2020-04-15,2020-04-16,20,-0.0791816878773397,-0.24423402684272233,-0.5222169135212611,0.007687964209703635,-0.287668852886244,0.007687964209703635,-0.5222169135212611,-3.158782837007286,
A_D20_worst_50,SIG23641_2,23641,ADD_ON_1,300159.SZ,300159,新研股份,2022-04-11,2022-04-12,20,0.01642543503008631,-0.16653114327532914,-0.5208280092001021,0.04837023441674626,-0.17233928861835823,0.04837023441674626,-0.558580953929791,-2.4339844351041138,
